source,title,doi,pmid,link,internal_id,"success,pdf_path",success,pdf_path
Scopus,"Muramyl peptides - Chemical structure, biological activity and mechanism of action",10.1007/BF00225295,,https://doi.org/10.1007/BF00225295,3510acc3-da3b-93c7-c056-ea062fdfcf85896ec522,,False,
Scopus,"Rapid increase in guanosine 3′,5′-cyclic-monophosphate in interferon-treated mouse leukemia L1210 cells: Relationship to the development of the antiviral state and inhibition of cell multiplication",10.1016/0042-6822(81)90110-0,,https://doi.org/10.1016/0042-6822(81)90110-0,fab981e5-400c-8743-a7a4-f05b9a8c4ded2904697e,,False,
Scopus,Hypercalcemia in carcinoma of the breast without evidence of bone destruction: Beneficial effect of hormonal therapy,10.1002/1097-0142(19811201)48:11<2383::AID-CNCR2820481108>3.0.CO;2-N,,https://doi.org/10.1002/1097-0142(19811201)48:11<2383::AID-CNCR2820481108>3.0.CO;2-N,e9a2161b-3ecf-a637-23ea-2b8e90a791a498af79de,,False,
Scopus,Methotrexate Analogues. 14. Synthesis of New γ-Substituted Derivatives as Dihydrofolate Reductase Inhibitors and Potential Anticancer Agents,10.1021/jm00144a016,,https://doi.org/10.1021/jm00144a016,e87a2189-552a-127e-0f0a-a98f6882d01d121a1dc6,,False,
Scopus,DNA breakage activity of the methanol extract of auromomycin,10.1007/BF00258212,,https://doi.org/10.1007/BF00258212,c7edd888-4d86-4515-0ace-81a96df4d87ccaa07445,,False,
Scopus,High affinity binding of 125I-labeled mouse interferon to a specific cell surface receptor II. Analysis of binding properties,10.1016/0042-6822(81)90108-2,,https://doi.org/10.1016/0042-6822(81)90108-2,3780b13b-6068-7b50-4dcb-1de6a144db5553ebbbb4,,False,
Scopus,Strategies in the Discovery of Drugs from Natural Sources,10.1016/S0065-7743(08)60512-6,,https://doi.org/10.1016/S0065-7743(08)60512-6,8b4b13de-6dcc-95b9-3e82-03fc0c19ee9ee391a49d,,False,
Scopus,Antineoplastic Agents,10.1016/S0065-7743(08)60499-6,,https://doi.org/10.1016/S0065-7743(08)60499-6,ad862413-0f2d-481b-3ee4-410fbd522306d91bdc26,,False,
Scopus,Syntheses and Reactions of Compounds Containing the N-Hydroxyamide Functionality,10.5059/yukigoseikyokaishi.40.1189,,https://doi.org/10.5059/yukigoseikyokaishi.40.1189,4b83a660-8349-9da7-7c53-913661f9b7f8967a9ae5,,True,data/literature_data/scopus/4b83a660-8349-9da7-7c53-913661f9b7f8967a9ae5.pdf
Scopus,"Synthesis of 1-Thio-N-Acetylmuramoyl-L-Alanyl-D-Isoglutamine Derivatives, and Their Biological Activities, XX",10.1080/07328308208085104,,https://doi.org/10.1080/07328308208085104,485985a8-2a96-f9cd-b2b5-42fc0c24061ca6e4b0ce,,False,
Scopus,Leukocyte Motility,10.1016/S0065-7743(08)60501-1,,https://doi.org/10.1016/S0065-7743(08)60501-1,84ef4bd0-2712-7bdc-00f6-bd355a970830865ebece,,False,
Scopus,Therapeutic Modulation of Cellular Mediated Immunity,10.1016/S0065-7743(08)60502-3,,https://doi.org/10.1016/S0065-7743(08)60502-3,9ce483db-8eaa-8eba-a446-c72e2a59e32f1eac7064,,False,
Scopus,Use of covalently bound adjuvant peptide to increase tumor immunogenicity,10.1007/BF00205376,,https://doi.org/10.1007/BF00205376,f845e5a2-410f-8ce9-ab23-59048ee9b85b7a6cfec3,,False,
